Date,neighbourhood,count
2015-01-01,Allerton/Pelham Gardens,15
2015-01-01,Alphabet City,480
2015-01-01,Arden Heights,1
2015-01-01,Arrochar/Fort Wadsworth,2
2015-01-01,Astoria,509
2015-01-01,Astoria Park,3
2015-01-01,Auburndale,21
2015-01-01,Baisley Park,24
2015-01-01,Bath Beach,24
2015-01-01,Battery Park,5
2015-01-01,Battery Park City,353
2015-01-01,Bay Ridge,194
2015-01-01,Bay Terrace/Fort Totten,16
2015-01-01,Bayside,46
2015-01-01,Bedford,534
2015-01-01,Bedford Park,43
2015-01-01,Bellerose,16
2015-01-01,Belmont,32
2015-01-01,Bensonhurst East,54
2015-01-01,Bensonhurst West,59
2015-01-01,Bloomfield/Emerson Hill,8
2015-01-01,Bloomingdale,89
2015-01-01,Boerum Hill,327
2015-01-01,Borough Park,50
2015-01-01,Breezy Point/Fort Tilden/Riis Beach,1
2015-01-01,Briarwood/Jamaica Hills,50
2015-01-01,Brighton Beach,35
2015-01-01,Bronx Park,10
2015-01-01,Bronxdale,18
2015-01-01,Brooklyn Heights,303
2015-01-01,Brooklyn Navy Yard,14
2015-01-01,Brownsville,42
2015-01-01,Bushwick North,791
2015-01-01,Bushwick South,713
2015-01-01,Cambria Heights,4
2015-01-01,Canarsie,72
2015-01-01,Carroll Gardens,197
2015-01-01,Central Harlem,320
2015-01-01,Central Harlem North,349
2015-01-01,Central Park,153
2015-01-01,Charleston/Tottenville,1
2015-01-01,Chinatown,244
2015-01-01,City Island,1
2015-01-01,Claremont/Bathgate,18
2015-01-01,Clinton East,1240
2015-01-01,Clinton Hill,460
2015-01-01,Clinton West,1090
2015-01-01,Co-Op City,12
2015-01-01,Cobble Hill,109
2015-01-01,College Point,30
2015-01-01,Columbia Street,45
2015-01-01,Coney Island,42
2015-01-01,Corona,5
2015-01-01,Corona,47
2015-01-01,Country Club,6
2015-01-01,Crotona Park,2
2015-01-01,Crotona Park East,21
2015-01-01,Crown Heights North,608
2015-01-01,Crown Heights South,113
2015-01-01,Cypress Hills,45
2015-01-01,Douglaston,13
2015-01-01,Downtown Brooklyn/MetroTech,225
2015-01-01,DUMBO/Vinegar Hill,241
2015-01-01,Dyker Heights,53
2015-01-01,East Chelsea,1483
2015-01-01,East Concourse/Concourse Village,37
2015-01-01,East Elmhurst,60
2015-01-01,East Flatbush/Farragut,66
2015-01-01,East Flatbush/Remsen Village,56
2015-01-01,East Flushing,29
2015-01-01,East Harlem North,193
2015-01-01,East Harlem South,208
2015-01-01,East New York,76
2015-01-01,East New York/Pennsylvania Avenue,27
2015-01-01,East Tremont,31
2015-01-01,East Village,2444
2015-01-01,East Williamsburg,750
2015-01-01,Eastchester,10
2015-01-01,Elmhurst,126
2015-01-01,Elmhurst/Maspeth,60
2015-01-01,Eltingville/Annadale/Prince's Bay,1
2015-01-01,Erasmus,37
2015-01-01,Far Rockaway,2
2015-01-01,Financial District North,550
2015-01-01,Financial District South,190
2015-01-01,Flatbush/Ditmas Park,218
2015-01-01,Flatiron,799
2015-01-01,Flatlands,73
2015-01-01,Flushing,114
2015-01-01,Flushing Meadows-Corona Park,22
2015-01-01,Fordham South,21
2015-01-01,Forest Hills,197
2015-01-01,Forest Park/Highland Park,3
2015-01-01,Fort Greene,371
2015-01-01,Fresh Meadows,20
2015-01-01,Garment District,322
2015-01-01,Glen Oaks,5
2015-01-01,Glendale,53
2015-01-01,Gowanus,180
2015-01-01,Gramercy,1009
2015-01-01,Gravesend,42
2015-01-01,Great Kills,4
2015-01-01,Greenpoint,935
2015-01-01,Greenwich Village North,869
2015-01-01,Greenwich Village South,995
2015-01-01,Grymes Hill/Clifton,3
2015-01-01,Hamilton Heights,186
2015-01-01,Hammels/Arverne,1
2015-01-01,Heartland Village/Todt Hill,2
2015-01-01,Highbridge,30
2015-01-01,Highbridge Park,1
2015-01-01,Hillcrest/Pomonok,23
2015-01-01,Hollis,4
2015-01-01,Homecrest,77
2015-01-01,Howard Beach,23
2015-01-01,Hudson Sq,296
2015-01-01,Hunts Point,20
2015-01-01,Inwood,83
2015-01-01,Inwood Hill Park,4
2015-01-01,Jackson Heights,194
2015-01-01,Jamaica,70
2015-01-01,Jamaica Estates,24
2015-01-01,JFK Airport,838
2015-01-01,Kensington,68
2015-01-01,Kew Gardens,51
2015-01-01,Kew Gardens Hills,32
2015-01-01,Kingsbridge Heights,48
2015-01-01,Kips Bay,489
2015-01-01,LaGuardia Airport,595
2015-01-01,Laurelton,7
2015-01-01,Lenox Hill East,381
2015-01-01,Lenox Hill West,602
2015-01-01,Lincoln Square East,820
2015-01-01,Lincoln Square West,368
2015-01-01,Little Italy/NoLiTa,1157
2015-01-01,Long Island City/Hunters Point,388
2015-01-01,Long Island City/Queens Plaza,93
2015-01-01,Longwood,15
2015-01-01,Lower East Side,1650
2015-01-01,Madison,36
2015-01-01,Manhattan Beach,33
2015-01-01,Manhattan Valley,173
2015-01-01,Manhattanville,94
2015-01-01,Marble Hill,14
2015-01-01,Marine Park/Mill Basin,48
2015-01-01,Mariners Harbor,2
2015-01-01,Maspeth,75
2015-01-01,Meatpacking/West Village West,1336
2015-01-01,Melrose South,34
2015-01-01,Middle Village,62
2015-01-01,Midtown Center,713
2015-01-01,Midtown East,517
2015-01-01,Midtown North,779
2015-01-01,Midtown South,970
2015-01-01,Midwood,63
2015-01-01,Morningside Heights,133
2015-01-01,Morrisania/Melrose,28
2015-01-01,Mott Haven/Port Morris,48
2015-01-01,Mount Hope,39
2015-01-01,Murray Hill,940
2015-01-01,Murray Hill-Queens,58
2015-01-01,Newark Airport,1
2015-01-01,North Corona,22
2015-01-01,Norwood,35
2015-01-01,Oakland Gardens,7
2015-01-01,Oakwood,1
2015-01-01,Ocean Hill,57
2015-01-01,Ocean Parkway South,38
2015-01-01,Old Astoria,144
2015-01-01,Ozone Park,29
2015-01-01,Park Slope,761
2015-01-01,Parkchester,28
2015-01-01,Pelham Bay,13
2015-01-01,Pelham Bay Park,1
2015-01-01,Pelham Parkway,35
2015-01-01,Penn Station/Madison Sq West,512
2015-01-01,Port Richmond,1
2015-01-01,Prospect Heights,349
2015-01-01,Prospect Park,16
2015-01-01,Prospect-Lefferts Gardens,214
2015-01-01,Queens Village,27
2015-01-01,Queensboro Hill,15
2015-01-01,Queensbridge/Ravenswood,12
2015-01-01,Randalls Island,1
2015-01-01,Red Hook,107
2015-01-01,Rego Park,62
2015-01-01,Richmond Hill,73
2015-01-01,Ridgewood,127
2015-01-01,Riverdale/North Riverdale/Fieldston,35
2015-01-01,Rockaway Park,6
2015-01-01,Roosevelt Island,36
2015-01-01,Rosedale,7
2015-01-01,Saint Albans,19
2015-01-01,Saint George/New Brighton,10
2015-01-01,Saint Michaels Cemetery/Woodside,9
2015-01-01,Schuylerville/Edgewater Park,41
2015-01-01,Seaport,190
2015-01-01,Sheepshead Bay,37
2015-01-01,SoHo,828
2015-01-01,Soundview/Bruckner,19
2015-01-01,Soundview/Castle Hill,36
2015-01-01,South Beach/Dongan Hills,9
2015-01-01,South Jamaica,12
2015-01-01,South Ozone Park,57
2015-01-01,South Williamsburg,38
2015-01-01,Springfield Gardens North,18
2015-01-01,Springfield Gardens South,21
2015-01-01,Spuyten Duyvil/Kingsbridge,71
2015-01-01,Stapleton,3
2015-01-01,Starrett City,12
2015-01-01,Steinway,318
2015-01-01,Stuy Town/Peter Cooper Village,250
2015-01-01,Stuyvesant Heights,336
2015-01-01,Sunnyside,205
2015-01-01,Sunset Park East,45
2015-01-01,Sunset Park West,154
2015-01-01,Sutton Place/Turtle Bay North,612
2015-01-01,Times Sq/Theatre District,764
2015-01-01,TriBeCa/Civic Center,1506
2015-01-01,Two Bridges/Seward Park,557
2015-01-01,UN/Turtle Bay South,445
2015-01-01,Union Sq,1386
2015-01-01,University Heights/Morris Heights,50
2015-01-01,Unknown,38
2015-01-01,Upper East Side North,485
2015-01-01,Upper East Side South,569
2015-01-01,Upper West Side North,402
2015-01-01,Upper West Side South,628
2015-01-01,Van Cortlandt Park,7
2015-01-01,Van Cortlandt Village,49
2015-01-01,Van Nest/Morris Park,36
2015-01-01,Washington Heights North,198
2015-01-01,Washington Heights South,198
2015-01-01,West Brighton,2
2015-01-01,West Chelsea/Hudson Yards,978
2015-01-01,West Concourse,56
2015-01-01,West Farms/Bronx River,24
2015-01-01,West Village,1376
2015-01-01,Westchester Village/Unionport,33
2015-01-01,Westerleigh,4
2015-01-01,Whitestone,31
2015-01-01,Williamsbridge/Olinville,20
2015-01-01,Williamsburg (North Side),1447
2015-01-01,Williamsburg (South Side),1041
2015-01-01,Windsor Terrace,103
2015-01-01,Woodhaven,70
2015-01-01,Woodlawn/Wakefield,24
2015-01-01,Woodside,90
2015-01-01,World Trade Center,221
2015-01-01,Yorkville East,337
2015-01-01,Yorkville West,574
2015-01-02,Allerton/Pelham Gardens,4
2015-01-02,Alphabet City,317
2015-01-02,Arrochar/Fort Wadsworth,2
2015-01-02,Astoria,282
2015-01-02,Auburndale,10
2015-01-02,Baisley Park,24
2015-01-02,Bath Beach,11
2015-01-02,Battery Park,18
2015-01-02,Battery Park City,430
2015-01-02,Bay Ridge,113
2015-01-02,Bay Terrace/Fort Totten,12
2015-01-02,Bayside,25
2015-01-02,Bedford,310
2015-01-02,Bedford Park,13
2015-01-02,Bellerose,5
2015-01-02,Belmont,31
2015-01-02,Bensonhurst East,20
2015-01-02,Bensonhurst West,35
2015-01-02,Bloomfield/Emerson Hill,1
2015-01-02,Bloomingdale,75
2015-01-02,Boerum Hill,220
2015-01-02,Borough Park,26
2015-01-02,Breezy Point/Fort Tilden/Riis Beach,1
2015-01-02,Briarwood/Jamaica Hills,36
2015-01-02,Brighton Beach,13
2015-01-02,Bronx Park,14
2015-01-02,Bronxdale,18
2015-01-02,Brooklyn Heights,265
2015-01-02,Brooklyn Navy Yard,21
2015-01-02,Brownsville,32
2015-01-02,Bushwick North,230
2015-01-02,Bushwick South,315
2015-01-02,Cambria Heights,8
2015-01-02,Canarsie,51
2015-01-02,Carroll Gardens,154
2015-01-02,Central Harlem,192
2015-01-02,Central Harlem North,207
2015-01-02,Central Park,161
2015-01-02,Chinatown,158
2015-01-02,Claremont/Bathgate,10
2015-01-02,Clinton East,816
2015-01-02,Clinton Hill,300
2015-01-02,Clinton West,400
2015-01-02,Co-Op City,11
2015-01-02,Cobble Hill,102
2015-01-02,College Point,16
2015-01-02,Columbia Street,41
2015-01-02,Coney Island,18
2015-01-02,Corona,3
2015-01-02,Corona,32
2015-01-02,Country Club,2
2015-01-02,Crotona Park East,8
2015-01-02,Crown Heights North,367
2015-01-02,Crown Heights South,83
2015-01-02,Cypress Hills,9
2015-01-02,Douglaston,5
2015-01-02,Downtown Brooklyn/MetroTech,172
2015-01-02,DUMBO/Vinegar Hill,175
2015-01-02,Dyker Heights,30
2015-01-02,East Chelsea,742
2015-01-02,East Concourse/Concourse Village,22
2015-01-02,East Elmhurst,34
2015-01-02,East Flatbush/Farragut,38
2015-01-02,East Flatbush/Remsen Village,35
2015-01-02,East Flushing,10
2015-01-02,East Harlem North,151
2015-01-02,East Harlem South,182
2015-01-02,East New York,45
2015-01-02,East New York/Pennsylvania Avenue,16
2015-01-02,East Tremont,17
2015-01-02,East Village,1255
2015-01-02,East Williamsburg,357
2015-01-02,Eastchester,11
2015-01-02,Elmhurst,78
2015-01-02,Elmhurst/Maspeth,17
2015-01-02,Erasmus,24
2015-01-02,Far Rockaway,1
2015-01-02,Financial District North,458
2015-01-02,Financial District South,160
2015-01-02,Flatbush/Ditmas Park,122
2015-01-02,Flatiron,564
2015-01-02,Flatlands,42
2015-01-02,Flushing,81
2015-01-02,Flushing Meadows-Corona Park,7
2015-01-02,Fordham South,2
2015-01-02,Forest Hills,112
2015-01-02,Forest Park/Highland Park,2
2015-01-02,Fort Greene,274
2015-01-02,Fresh Meadows,12
2015-01-02,Garment District,299
2015-01-02,Glen Oaks,6
2015-01-02,Glendale,18
2015-01-02,Gowanus,116
2015-01-02,Gramercy,671
2015-01-02,Gravesend,6
2015-01-02,Green-Wood Cemetery,2
2015-01-02,Greenpoint,442
2015-01-02,Greenwich Village North,592
2015-01-02,Greenwich Village South,492
2015-01-02,Grymes Hill/Clifton,2
2015-01-02,Hamilton Heights,119
2015-01-02,Hammels/Arverne,1
2015-01-02,Heartland Village/Todt Hill,3
2015-01-02,Highbridge,17
2015-01-02,Highbridge Park,4
2015-01-02,Hillcrest/Pomonok,39
2015-01-02,Hollis,4
2015-01-02,Homecrest,34
2015-01-02,Howard Beach,10
2015-01-02,Hudson Sq,229
2015-01-02,Hunts Point,8
2015-01-02,Inwood,38
2015-01-02,Inwood Hill Park,2
2015-01-02,Jackson Heights,117
2015-01-02,Jamaica,41
2015-01-02,Jamaica Estates,15
2015-01-02,JFK Airport,1268
2015-01-02,Kensington,32
2015-01-02,Kew Gardens,36
2015-01-02,Kew Gardens Hills,19
2015-01-02,Kingsbridge Heights,11
2015-01-02,Kips Bay,439
2015-01-02,LaGuardia Airport,843
2015-01-02,Laurelton,5
2015-01-02,Lenox Hill East,386
2015-01-02,Lenox Hill West,578
2015-01-02,Lincoln Square East,630
2015-01-02,Lincoln Square West,310
2015-01-02,Little Italy/NoLiTa,747
2015-01-02,Long Island City/Hunters Point,219
2015-01-02,Long Island City/Queens Plaza,46
2015-01-02,Longwood,11
2015-01-02,Lower East Side,789
2015-01-02,Madison,22
2015-01-02,Manhattan Beach,9
2015-01-02,Manhattan Valley,160
2015-01-02,Manhattanville,48
2015-01-02,Marble Hill,6
2015-01-02,Marine Park/Floyd Bennett Field,1
2015-01-02,Marine Park/Mill Basin,21
2015-01-02,Maspeth,32
2015-01-02,Meatpacking/West Village West,631
2015-01-02,Melrose South,5
2015-01-02,Middle Village,27
2015-01-02,Midtown Center,893
2015-01-02,Midtown East,575
2015-01-02,Midtown North,752
2015-01-02,Midtown South,678
2015-01-02,Midwood,38
2015-01-02,Morningside Heights,116
2015-01-02,Morrisania/Melrose,9
2015-01-02,Mott Haven/Port Morris,33
2015-01-02,Mount Hope,12
2015-01-02,Murray Hill,809
2015-01-02,Murray Hill-Queens,29
2015-01-02,North Corona,12
2015-01-02,Norwood,15
2015-01-02,Oakland Gardens,13
2015-01-02,Oakwood,2
2015-01-02,Ocean Hill,40
2015-01-02,Ocean Parkway South,24
2015-01-02,Old Astoria,78
2015-01-02,Ozone Park,16
2015-01-02,Park Slope,534
2015-01-02,Parkchester,11
2015-01-02,Pelham Bay,9
2015-01-02,Pelham Parkway,18
2015-01-02,Penn Station/Madison Sq West,548
2015-01-02,Prospect Heights,197
2015-01-02,Prospect Park,27
2015-01-02,Prospect-Lefferts Gardens,140
2015-01-02,Queens Village,14
2015-01-02,Queensboro Hill,11
2015-01-02,Queensbridge/Ravenswood,18
2015-01-02,Randalls Island,2
2015-01-02,Red Hook,73
2015-01-02,Rego Park,23
2015-01-02,Richmond Hill,28
2015-01-02,Ridgewood,65
2015-01-02,Riverdale/North Riverdale/Fieldston,20
2015-01-02,Roosevelt Island,18
2015-01-02,Rosedale,6
2015-01-02,Rossville/Woodrow,1
2015-01-02,Saint Albans,10
2015-01-02,Saint George/New Brighton,2
2015-01-02,Schuylerville/Edgewater Park,14
2015-01-02,Seaport,165
2015-01-02,Sheepshead Bay,14
2015-01-02,SoHo,636
2015-01-02,Soundview/Bruckner,14
2015-01-02,Soundview/Castle Hill,18
2015-01-02,South Beach/Dongan Hills,2
2015-01-02,South Jamaica,13
2015-01-02,South Ozone Park,22
2015-01-02,South Williamsburg,25
2015-01-02,Springfield Gardens North,9
2015-01-02,Springfield Gardens South,14
2015-01-02,Spuyten Duyvil/Kingsbridge,39
2015-01-02,Stapleton,4
2015-01-02,Starrett City,8
2015-01-02,Steinway,163
2015-01-02,Stuy Town/Peter Cooper Village,294
2015-01-02,Stuyvesant Heights,213
2015-01-02,Sunnyside,157
2015-01-02,Sunset Park East,33
2015-01-02,Sunset Park West,91
2015-01-02,Sutton Place/Turtle Bay North,508
2015-01-02,Times Sq/Theatre District,807
2015-01-02,TriBeCa/Civic Center,1073
2015-01-02,Two Bridges/Seward Park,207
2015-01-02,UN/Turtle Bay South,472
2015-01-02,Union Sq,923
2015-01-02,University Heights/Morris Heights,14
2015-01-02,Unknown,21
2015-01-02,Upper East Side North,622
2015-01-02,Upper East Side South,706
2015-01-02,Upper West Side North,380
2015-01-02,Upper West Side South,599
2015-01-02,Van Cortlandt Park,5
2015-01-02,Van Cortlandt Village,22
2015-01-02,Van Nest/Morris Park,16
2015-01-02,Washington Heights North,79
2015-01-02,Washington Heights South,136
2015-01-02,West Brighton,1
2015-01-02,West Chelsea/Hudson Yards,545
2015-01-02,West Concourse,25
2015-01-02,West Farms/Bronx River,3
2015-01-02,West Village,871
2015-01-02,Westchester Village/Unionport,10
2015-01-02,Westerleigh,3
2015-01-02,Whitestone,27
2015-01-02,Williamsbridge/Olinville,27
2015-01-02,Williamsburg (North Side),672
2015-01-02,Williamsburg (South Side),481
2015-01-02,Windsor Terrace,76
2015-01-02,Woodhaven,33
2015-01-02,Woodlawn/Wakefield,13
2015-01-02,Woodside,57
2015-01-02,World Trade Center,245
2015-01-02,Yorkville East,318
2015-01-02,Yorkville West,434
2015-01-03,Allerton/Pelham Gardens,14
2015-01-03,Alphabet City,485
2015-01-03,Arrochar/Fort Wadsworth,4
2015-01-03,Astoria,510
2015-01-03,Astoria Park,2
2015-01-03,Auburndale,18
2015-01-03,Baisley Park,17
2015-01-03,Bath Beach,7
2015-01-03,Battery Park,8
2015-01-03,Battery Park City,537
2015-01-03,Bay Ridge,159
2015-01-03,Bay Terrace/Fort Totten,14
2015-01-03,Bayside,50
2015-01-03,Bedford,438
2015-01-03,Bedford Park,21
2015-01-03,Bellerose,14
2015-01-03,Belmont,33
2015-01-03,Bensonhurst East,27
2015-01-03,Bensonhurst West,36
2015-01-03,Bloomfield/Emerson Hill,4
2015-01-03,Bloomingdale,98
2015-01-03,Boerum Hill,353
2015-01-03,Borough Park,26
2015-01-03,Breezy Point/Fort Tilden/Riis Beach,1
2015-01-03,Briarwood/Jamaica Hills,31
2015-01-03,Brighton Beach,9
2015-01-03,Bronx Park,29
2015-01-03,Bronxdale,13
2015-01-03,Brooklyn Heights,404
2015-01-03,Brooklyn Navy Yard,15
2015-01-03,Brownsville,31
2015-01-03,Bushwick North,331
2015-01-03,Bushwick South,516
2015-01-03,Cambria Heights,8
2015-01-03,Canarsie,45
2015-01-03,Carroll Gardens,224
2015-01-03,Central Harlem,307
2015-01-03,Central Harlem North,311
2015-01-03,Central Park,231
2015-01-03,Chinatown,266
2015-01-03,City Island,3
2015-01-03,Claremont/Bathgate,8
2015-01-03,Clinton East,1258
2015-01-03,Clinton Hill,435
2015-01-03,Clinton West,622
2015-01-03,Co-Op City,20
2015-01-03,Cobble Hill,142
2015-01-03,College Point,9
2015-01-03,Columbia Street,49
2015-01-03,Coney Island,26
2015-01-03,Corona,4
2015-01-03,Corona,30
2015-01-03,Country Club,4
2015-01-03,Crotona Park East,10
2015-01-03,Crown Heights North,601
2015-01-03,Crown Heights South,116
2015-01-03,Cypress Hills,20
2015-01-03,Douglaston,10
2015-01-03,Downtown Brooklyn/MetroTech,221
2015-01-03,DUMBO/Vinegar Hill,177
2015-01-03,Dyker Heights,42
2015-01-03,East Chelsea,1088
2015-01-03,East Concourse/Concourse Village,29
2015-01-03,East Elmhurst,30
2015-01-03,East Flatbush/Farragut,42
2015-01-03,East Flatbush/Remsen Village,46
2015-01-03,East Flushing,14
2015-01-03,East Harlem North,220
2015-01-03,East Harlem South,203
2015-01-03,East New York,38
2015-01-03,East New York/Pennsylvania Avenue,15
2015-01-03,East Tremont,11
2015-01-03,East Village,2172
2015-01-03,East Williamsburg,594
2015-01-03,Eastchester,7
2015-01-03,Elmhurst,94
2015-01-03,Elmhurst/Maspeth,29
2015-01-03,Erasmus,33
2015-01-03,Financial District North,585
2015-01-03,Financial District South,154
2015-01-03,Flatbush/Ditmas Park,187
2015-01-03,Flatiron,965
2015-01-03,Flatlands,51
2015-01-03,Flushing,111
2015-01-03,Flushing Meadows-Corona Park,24
2015-01-03,Fordham South,9
2015-01-03,Forest Hills,182
2015-01-03,Forest Park/Highland Park,3
2015-01-03,Fort Greene,368
2015-01-03,Fresh Meadows,12
2015-01-03,Garment District,362
2015-01-03,Glen Oaks,5
2015-01-03,Glendale,40
2015-01-03,Gowanus,170
2015-01-03,Gramercy,1204
2015-01-03,Gravesend,16
2015-01-03,Great Kills,2
2015-01-03,Green-Wood Cemetery,1
2015-01-03,Greenpoint,685
2015-01-03,Greenwich Village North,969
2015-01-03,Greenwich Village South,1016
2015-01-03,Hamilton Heights,158
2015-01-03,Hammels/Arverne,2
2015-01-03,Highbridge,19
2015-01-03,Hillcrest/Pomonok,32
2015-01-03,Hollis,2
2015-01-03,Homecrest,46
2015-01-03,Howard Beach,16
2015-01-03,Hudson Sq,314
2015-01-03,Hunts Point,7
2015-01-03,Inwood,52
2015-01-03,Inwood Hill Park,1
2015-01-03,Jackson Heights,170
2015-01-03,Jamaica,42
2015-01-03,Jamaica Estates,16
2015-01-03,JFK Airport,1562
2015-01-03,Kensington,51
2015-01-03,Kew Gardens,37
2015-01-03,Kew Gardens Hills,32
2015-01-03,Kingsbridge Heights,10
2015-01-03,Kips Bay,717
2015-01-03,LaGuardia Airport,936
2015-01-03,Laurelton,7
2015-01-03,Lenox Hill East,498
2015-01-03,Lenox Hill West,934
2015-01-03,Lincoln Square East,960
2015-01-03,Lincoln Square West,473
2015-01-03,Little Italy/NoLiTa,1141
2015-01-03,Long Island City/Hunters Point,350
2015-01-03,Long Island City/Queens Plaza,88
2015-01-03,Longwood,11
2015-01-03,Lower East Side,1292
2015-01-03,Madison,27
2015-01-03,Manhattan Beach,13
2015-01-03,Manhattan Valley,224
2015-01-03,Manhattanville,89
2015-01-03,Marble Hill,6
2015-01-03,Marine Park/Floyd Bennett Field,6
2015-01-03,Marine Park/Mill Basin,22
2015-01-03,Mariners Harbor,1
2015-01-03,Maspeth,38
2015-01-03,Meatpacking/West Village West,1029
2015-01-03,Melrose South,16
2015-01-03,Middle Village,48
2015-01-03,Midtown Center,1141
2015-01-03,Midtown East,696
2015-01-03,Midtown North,1062
2015-01-03,Midtown South,905
2015-01-03,Midwood,48
2015-01-03,Morningside Heights,155
2015-01-03,Morrisania/Melrose,20
2015-01-03,Mott Haven/Port Morris,39
2015-01-03,Mount Hope,15
2015-01-03,Murray Hill,1222
2015-01-03,Murray Hill-Queens,40
2015-01-03,New Dorp/Midland Beach,1
2015-01-03,North Corona,14
2015-01-03,Norwood,20
2015-01-03,Oakland Gardens,14
2015-01-03,Oakwood,2
2015-01-03,Ocean Hill,44
2015-01-03,Ocean Parkway South,19
2015-01-03,Old Astoria,142
2015-01-03,Ozone Park,14
2015-01-03,Park Slope,840
2015-01-03,Parkchester,13
2015-01-03,Pelham Bay,13
2015-01-03,Pelham Parkway,25
2015-01-03,Penn Station/Madison Sq West,786
2015-01-03,Prospect Heights,374
2015-01-03,Prospect Park,55
2015-01-03,Prospect-Lefferts Gardens,229
2015-01-03,Queens Village,16
2015-01-03,Queensboro Hill,19
2015-01-03,Queensbridge/Ravenswood,31
2015-01-03,Randalls Island,3
2015-01-03,Red Hook,131
2015-01-03,Rego Park,54
2015-01-03,Richmond Hill,31
2015-01-03,Ridgewood,112
2015-01-03,Riverdale/North Riverdale/Fieldston,33
2015-01-03,Rockaway Park,2
2015-01-03,Roosevelt Island,12
2015-01-03,Rosedale,8
2015-01-03,Saint Albans,18
2015-01-03,Saint George/New Brighton,1
2015-01-03,Saint Michaels Cemetery/Woodside,3
2015-01-03,Schuylerville/Edgewater Park,20
2015-01-03,Seaport,220
2015-01-03,Sheepshead Bay,32
2015-01-03,SoHo,890
2015-01-03,Soundview/Bruckner,20
2015-01-03,Soundview/Castle Hill,13
2015-01-03,South Beach/Dongan Hills,2
2015-01-03,South Jamaica,12
2015-01-03,South Ozone Park,32
2015-01-03,South Williamsburg,27
2015-01-03,Springfield Gardens North,12
2015-01-03,Springfield Gardens South,21
2015-01-03,Spuyten Duyvil/Kingsbridge,42
2015-01-03,Stapleton,1
2015-01-03,Starrett City,9
2015-01-03,Steinway,265
2015-01-03,Stuy Town/Peter Cooper Village,416
2015-01-03,Stuyvesant Heights,319
2015-01-03,Sunnyside,222
2015-01-03,Sunset Park East,44
2015-01-03,Sunset Park West,137
2015-01-03,Sutton Place/Turtle Bay North,782
2015-01-03,Times Sq/Theatre District,1163
2015-01-03,TriBeCa/Civic Center,1596
2015-01-03,Two Bridges/Seward Park,340
2015-01-03,UN/Turtle Bay South,653
2015-01-03,Union Sq,1396
2015-01-03,University Heights/Morris Heights,21
2015-01-03,Unknown,33
2015-01-03,Upper East Side North,979
2015-01-03,Upper East Side South,1130
2015-01-03,Upper West Side North,553
2015-01-03,Upper West Side South,946
2015-01-03,Van Cortlandt Park,2
2015-01-03,Van Cortlandt Village,29
2015-01-03,Van Nest/Morris Park,27
2015-01-03,Washington Heights North,112
2015-01-03,Washington Heights South,163
2015-01-03,West Brighton,1
2015-01-03,West Chelsea/Hudson Yards,846
2015-01-03,West Concourse,33
2015-01-03,West Farms/Bronx River,9
2015-01-03,West Village,1625
2015-01-03,Westchester Village/Unionport,15
2015-01-03,Westerleigh,3
2015-01-03,Whitestone,20
2015-01-03,Williamsbridge/Olinville,11
2015-01-03,Williamsburg (North Side),1071
2015-01-03,Williamsburg (South Side),745
2015-01-03,Windsor Terrace,93
2015-01-03,Woodhaven,29
2015-01-03,Woodlawn/Wakefield,12
2015-01-03,Woodside,67
2015-01-03,World Trade Center,259
2015-01-03,Yorkville East,467
2015-01-03,Yorkville West,700
2015-01-04,Allerton/Pelham Gardens,8
2015-01-04,Alphabet City,317
2015-01-04,Arrochar/Fort Wadsworth,1
2015-01-04,Astoria,380
2015-01-04,Astoria Park,2
2015-01-04,Auburndale,8
2015-01-04,Baisley Park,13
2015-01-04,Bath Beach,9
2015-01-04,Battery Park,10
2015-01-04,Battery Park City,329
2015-01-04,Bay Ridge,131
2015-01-04,Bay Terrace/Fort Totten,8
2015-01-04,Bayside,22
2015-01-04,Bedford,317
2015-01-04,Bedford Park,16
2015-01-04,Bellerose,10
2015-01-04,Belmont,22
2015-01-04,Bensonhurst East,30
2015-01-04,Bensonhurst West,32
2015-01-04,Bloomfield/Emerson Hill,2
2015-01-04,Bloomingdale,71
2015-01-04,Boerum Hill,263
2015-01-04,Borough Park,50
2015-01-04,Briarwood/Jamaica Hills,36
2015-01-04,Brighton Beach,21
2015-01-04,Bronx Park,7
2015-01-04,Bronxdale,11
2015-01-04,Brooklyn Heights,291
2015-01-04,Brooklyn Navy Yard,8
2015-01-04,Brownsville,32
2015-01-04,Bushwick North,320
2015-01-04,Bushwick South,438
2015-01-04,Cambria Heights,5
2015-01-04,Canarsie,47
2015-01-04,Carroll Gardens,176
2015-01-04,Central Harlem,219
2015-01-04,Central Harlem North,266
2015-01-04,Central Park,124
2015-01-04,Chinatown,145
2015-01-04,City Island,2
2015-01-04,Claremont/Bathgate,8
2015-01-04,Clinton East,844
2015-01-04,Clinton Hill,386
2015-01-04,Clinton West,527
2015-01-04,Co-Op City,12
2015-01-04,Cobble Hill,113
2015-01-04,College Point,19
2015-01-04,Columbia Street,39
2015-01-04,Coney Island,11
2015-01-04,Corona,6
2015-01-04,Corona,20
2015-01-04,Country Club,2
2015-01-04,Crotona Park East,12
2015-01-04,Crown Heights North,422
2015-01-04,Crown Heights South,100
2015-01-04,Cypress Hills,11
2015-01-04,Douglaston,14
2015-01-04,Downtown Brooklyn/MetroTech,156
2015-01-04,DUMBO/Vinegar Hill,125
2015-01-04,Dyker Heights,34
